Species,Water,CNMs,Dimension,Shape,Length,Diameter,Thickness,Zeta,Medium,RPM,C%,Modification,Dispersant,Duration,LightI,Temperature,LightD,Conc.,N,inhibition
8,1,3,1,2,12500,15,15,NA,3,NA,90,8,3,48,NA,25,14,0.01,780000,-9.963547944
4,0,3,1,2,NA,19,19,NA,7,0,NA,8,3,168,3892,20,12,1,10000,-9.954179188
4,0,3,1,2,NA,19,19,NA,7,0,NA,8,3,168,3892,20,12,1,10000,-9.954179188
11,1,3,1,2,2000,25,25,-20.3,3,0,95.62,8,3,144,5560,25,12,1,50000,-9.004739306
11,1,3,1,2,2000,25,25,-20.3,3,0,95.62,8,3,48,5560,25,12,1,50000,-8.333333344
0,1,1,0,1,NA,NA,NA,NA,0,125,99.5,0,3,144,4448,NA,NA,40,NA,-7.511726361
11,1,2,0,1,10,10,10,-5.21,7,NA,NA,8,3,72,4000,25,12,10,20000,-7.236580517
6,1,3,1,2,50000,30,30,-30.18,3,0,NA,8,3,216,2000,25,12,5,334095.0099,-7.097791777
4,0,4,1,3,27500,NA,NA,NA,7,0,NA,8,3,168,3892,20,12,1,10000,-6.636119459
6,1,3,1,2,50000,30,30,-30.18,3,0,NA,8,3,360,2000,25,12,5,334095.0099,-6.607275443
6,1,3,1,2,17500,1.5,1.5,NA,3,0,96.3,8,3,96,2250,25,12,0.5,2.00E+06,-6.428571443
10,1,3,1,2,3500,10,10,NA,7,100,95,8,3,96,4448,24,16,0.1,50000,-6
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,24,6000,23,14,0.1,898466257.7,-5.872612869
11,1,2,0,1,10,10,10,-5.21,7,NA,NA,8,3,72,4000,25,12,5,20000,-5.805168986
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,24,6000,23,14,0.2,898466257.7,-5.431063035
4,0,4,1,3,27500,NA,NA,NA,7,0,NA,8,3,168,3892,20,12,10,10000,-5.214093857
10,1,0,2,0,5050,5050,1.5,-36.93960511,3,NA,NA,3,3,48,NA,28,24,0.01,5.00E+05,-4.94206579
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,48,6000,23,14,0.2,898466257.7,-4.693942266
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,48,6000,23,14,0.1,898466257.7,-4.228776868
12,1,3,1,2,3500,45,45,NA,7,110,93.99,3,3,96,5560,25,14,1,150000,-4.145454545
11,1,3,1,2,2000,25,25,-20.3,3,0,95.62,8,3,192,5560,25,12,1,50000,-4.118616158
13,1,3,1,2,NA,2,2,NA,5,90,92.13,8,2,144,1300,20,16,0.1,250000,-4
1,0,0,2,0,1500,1500,NA,-8.35,1,NA,NA,3,3,456,5560,18,12,0.5,837000,-3.422982873
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,24,6000,23,14,1,898466257.7,-3.179158852
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,24,6000,23,14,5,898466257.7,-3.135003863
10,1,3,1,2,3500,10,10,NA,7,100,92,3,2,96,4448,24,16,0.053,50000,-3
11,1,2,0,1,10,10,10,-5.21,7,NA,NA,8,3,96,4000,25,12,5,20000,-2.942345924
10,1,0,2,0,3000,3000,0.9,-17.75803144,3,NA,67.17,3,3,72,NA,24,24,10,65000,-2.847503374
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,24,4000,25,12,5,2500000,-2.777777189
6,1,3,1,2,50000,30,30,-30.18,3,0,NA,8,3,288,2000,25,12,5,334095.0099,-2.71115745
6,1,3,1,2,17500,1.5,1.5,NA,3,0,96.3,8,3,72,2250,25,12,1,2.00E+06,-2.597402596
9,0,3,1,2,20000,25,25,NA,1,NA,95,8,3,48,4000,20,12,5,NA,-2.515726667
10,1,0,2,0,5050,5050,1.5,-36.93960511,3,NA,NA,3,3,96,NA,28,24,0.01,5.00E+05,-2.448479553
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,72,6000,23,14,0.1,898466257.7,-2.32764569
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,48,6000,23,14,0.5,898466257.7,-2.198963954
9,0,3,1,2,20000,25,25,NA,1,NA,95,8,3,24,4000,20,12,5,NA,-2.07792
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,24,6000,23,14,2,898466257.7,-1.854509327
11,1,2,0,1,10,10,10,-5.21,7,NA,NA,8,3,96,4000,25,12,10,20000,-1.829025845
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,24,6000,23,14,0.5,898466257.7,-1.633734404
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,72,6000,23,14,0.2,898466257.7,-1.06519373
5,1,3,1,2,3500,10,10,NA,7,100,95,8,2,96,4448,24,16,0.14,25000,-1
5,1,3,1,2,3500,10,10,NA,7,100,95,8,3,96,4448,24,16,0.1,25000,-1
6,1,3,1,2,17500,1.5,1.5,NA,3,0,96.3,8,3,24,2250,25,12,0.1,2.00E+06,-0.840336138
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,48,6000,23,14,10,898466257.7,-0.718892057
9,0,3,1,2,20000,25,25,NA,1,NA,95,8,3,72,4000,20,12,5,NA,-0.635924952
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,48,6000,23,14,1,898466257.7,-0.507453223
10,1,0,2,0,300,300,0.9,NA,3,0,66.36,3,3,144,3000,25,24,0.01,5.00E+06,-0.505050505
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,24,6000,23,14,10,898466257.7,-0.397394856
8,1,3,1,2,12500,15,15,NA,3,NA,90,8,3,24,NA,25,14,0.01,780000,-0.331674956
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,48,6000,23,14,5,898466257.7,-0.211438844
8,1,3,1,2,12500,15,15,NA,3,NA,90,8,3,72,NA,25,14,0.01,780000,-0.205973235
6,1,0,2,0,NA,NA,NA,-27.8,3,0,NA,3,3,96,2000,25,12,5,2270000,-0.143727733
10,1,4,1,3,155000,12,12,-12.0945083,11,NA,NA,8,3,24,3614,20,24,0,5.00E+05,0
10,1,4,1,3,155000,12,12,-12.0945083,11,NA,NA,8,3,48,3614,20,24,0,5.00E+05,0
10,1,4,1,3,155000,12,12,-12.0945083,11,NA,NA,8,3,72,3614,20,24,0,5.00E+05,0
10,1,4,1,3,155000,12,12,-12.0945083,11,NA,NA,8,3,96,3614,20,24,0,5.00E+05,0
10,1,3,1,2,50000,30,30,-18.53887399,11,NA,NA,8,3,24,3614,20,24,0,5.00E+05,0
10,1,3,1,2,50000,30,30,-18.53887399,11,NA,NA,8,3,48,3614,20,24,0,5.00E+05,0
10,1,3,1,2,50000,30,30,-18.53887399,11,NA,NA,8,3,72,3614,20,24,0,5.00E+05,0
10,1,3,1,2,50000,30,30,-18.53887399,11,NA,NA,8,3,96,3614,20,24,0,5.00E+05,0
15,1,3,1,2,17500,30,30,-18.95194743,11,0,93,8,3,24,3614,20,24,0,5.00E+05,0
15,1,3,1,2,17500,30,30,-18.95194743,11,0,93,8,3,48,3614,20,24,0,5.00E+05,0
15,1,3,1,2,17500,30,30,-18.95194743,11,0,93,8,3,72,3614,20,24,0,5.00E+05,0
15,1,3,1,2,17500,30,30,-18.95194743,11,0,93,8,3,96,3614,20,24,0,5.00E+05,0
3,0,3,1,2,20000,25,25,NA,2,0,95,8,3,24,6672,22,24,0,NA,0
3,0,3,1,2,20000,25,25,NA,2,0,95,8,3,48,6672,22,24,0,NA,0
3,0,3,1,2,20000,25,25,NA,2,0,95,8,3,72,6672,22,24,0,NA,0
3,0,3,1,2,20000,25,25,NA,2,0,95,8,3,168,6672,22,24,0,NA,0
12,1,5,0,1,10,10,10,NA,3,300,NA,8,3,48,8340,25,12,0,3.00E+06,0
12,1,5,0,1,10,10,10,NA,3,300,NA,3,3,48,8340,25,12,0,3.00E+06,0
10,1,6,3,4,208.295,208.295,208.295,-18.42931937,3,150,NA,8,3,72,5560,25,14,0,1.00E+06,0
10,1,6,3,4,208.295,208.295,208.295,-19.93717277,3,150,NA,8,3,72,5560,25,14,0,1.00E+06,0
10,1,6,3,4,208.295,208.295,208.295,-22.53403141,3,150,NA,8,3,72,5560,25,14,0,1.00E+06,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,24,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,48,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,72,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,96,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,120,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,144,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,7,3,24,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,7,3,48,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,7,3,72,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,7,3,96,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,7,3,120,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,7,3,144,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,24,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,24,4000,25,12,10,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,48,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,72,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,96,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,120,4000,25,12,0,2500000,0
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,144,4000,25,12,0,2500000,0
6,1,0,2,0,NA,NA,NA,-15.8,3,NA,NA,3,3,96,NA,25,12,0,NA,0
6,1,2,0,1,30,30,2.75,-16.2,3,NA,68.94,3,3,24,3300,25,14,0,5.00E+05,0
6,1,2,0,1,30,30,2.75,-16.2,3,NA,68.94,3,3,48,3300,25,14,0,5.00E+05,0
6,1,2,0,1,30,30,2.75,-16.2,3,NA,68.94,3,3,72,3300,25,14,0,5.00E+05,0
6,1,0,2,0,700,700,1.75,-10.9,3,NA,65.93,3,3,24,3300,25,14,0,5.00E+05,0
6,1,0,2,0,700,700,1.75,-10.9,3,NA,65.93,3,3,48,3300,25,14,0,5.00E+05,0
6,1,0,2,0,700,700,1.75,-10.9,3,NA,65.93,3,3,72,3300,25,14,0,5.00E+05,0
6,1,0,2,0,700,700,1.75,-10.9,3,NA,65.93,3,3,96,3300,25,14,0,5.00E+05,0
11,1,3,1,2,2000,25,25,-20.3,3,0,95.62,8,3,48,5560,25,12,0,50000,0
11,1,3,1,2,2000,25,25,-20.3,3,0,95.62,8,3,96,5560,25,12,0,50000,0
11,1,3,1,2,2000,25,25,-20.3,3,0,95.62,8,3,144,5560,25,12,0,50000,0
11,1,3,1,2,2000,25,25,-20.3,3,0,95.62,8,3,192,5560,25,12,0,50000,0
10,1,3,1,2,1750,1.5,1.5,-19.29813265,3,NA,NA,6,3,24,NA,24,24,0,64800,0
10,1,3,1,2,1750,1.5,1.5,-19.29813265,3,NA,NA,6,3,48,NA,24,24,0,64800,0
10,1,3,1,2,1750,1.5,1.5,-19.29813265,3,NA,NA,6,3,72,NA,24,24,0,64800,0
10,1,0,2,0,2750,2750,1,-17.08306504,3,NA,64.51,3,3,24,NA,24,24,0,64800,0
10,1,0,2,0,2750,2750,1,-17.08306504,3,NA,64.51,3,3,48,NA,24,24,0,64800,0
10,1,0,2,0,2750,2750,1,-17.08306504,3,NA,64.51,3,3,72,NA,24,24,0,64800,0
10,1,0,2,0,2750,2750,1,-17.08306504,3,NA,64.51,3,3,96,NA,24,24,0,64800,0
10,1,0,2,0,5050,5050,1.5,-36.93960511,3,NA,NA,3,3,72,NA,28,24,0,5.00E+05,0
10,1,0,2,0,5050,5050,1.5,-36.93960511,3,NA,NA,3,3,96,NA,28,24,0,5.00E+05,0
6,1,3,1,2,17500,1.5,1.5,NA,3,0,96.3,8,3,24,2250,25,12,0,2.00E+06,0
6,1,3,1,2,17500,1.5,1.5,NA,3,0,96.3,8,3,24,2250,25,12,10,2.00E+06,0
6,1,3,1,2,17500,1.5,1.5,NA,3,0,96.3,8,3,48,2250,25,12,0,2.00E+06,0
6,1,3,1,2,17500,1.5,1.5,NA,3,0,96.3,8,3,72,2250,25,12,0,2.00E+06,0
6,1,3,1,2,17500,1.5,1.5,NA,3,0,96.3,8,3,96,2250,25,12,0,2.00E+06,0
11,1,0,2,0,1250,1250,1,-33.6,3,0,NA,6,3,72,5000,25,12,0,NA,0
11,1,0,2,0,1250,1250,1,-30.8,3,0,NA,1,3,72,5000,25,12,0,NA,0
11,1,0,2,0,1250,1250,1,-45.2,3,0,98,8,3,72,5000,25,12,0,NA,0
11,1,0,2,0,2750,2750,1,-38,3,0,NA,3,3,72,5000,25,12,0,NA,0
6,1,0,2,0,NA,NA,NA,-27.8,3,0,NA,3,3,96,2000,25,12,0,2270000,0
12,1,0,2,0,3500,3500,1.2,-29.4,3,NA,40.3,3,3,72,NA,24,14,0,1.00E+05,0
10,1,0,2,0,300,300,0.9,NA,3,0,66.36,3,3,144,3000,24,24,0,5.00E+06,0
6,1,3,1,2,50000,30,30,-30.18,3,0,NA,8,3,72,2000,25,12,0,334095.0099,0
6,1,3,1,2,50000,30,30,-30.18,3,0,NA,8,3,144,2000,25,12,0,334095.0099,0
6,1,3,1,2,50000,30,30,-30.18,3,0,NA,8,3,216,2000,25,12,0,334095.0099,0
6,1,3,1,2,50000,30,30,-30.18,3,0,NA,8,3,288,2000,25,12,0,334095.0099,0
6,1,3,1,2,50000,30,30,-30.18,3,0,NA,8,3,360,2000,25,12,0,334095.0099,0
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,1,24,NA,25,16,0,550000,0
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,0,24,NA,25,16,0,550000,0
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,3,24,NA,25,16,0,550000,0
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,1,48,NA,25,16,0,550000,0
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,0,48,NA,25,16,0,550000,0
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,3,48,NA,25,16,0,550000,0
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,1,72,NA,25,16,0,550000,0
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,0,72,NA,25,16,0,550000,0
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,3,72,NA,25,16,0,550000,0
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,1,96,NA,25,16,0,550000,0
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,0,96,NA,25,16,0,550000,0
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,3,96,NA,25,16,0,550000,0
12,1,5,0,1,10,10,10,NA,3,400,NA,8,3,24,8340,25,12,0,3.00E+06,0
12,1,5,0,1,10,10,10,NA,3,400,NA,8,3,48,8340,25,12,0,3.00E+06,0
10,1,2,2,0,25,25,4,-27.5,3,0,NA,8,3,96,NA,26,14,0,3.00E+05,0
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,3,3,6,NA,25,16,0,1100000,0
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,3,3,18,NA,25,16,0,1100000,0
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,3,3,24,NA,25,16,0,1100000,0
10,1,0,2,0,NA,NA,NA,NA,3,0,56.08,5,3,6,NA,25,16,0,1100000,0
10,1,0,2,0,NA,NA,NA,NA,3,0,56.08,5,3,18,NA,25,16,0,1100000,0
10,1,0,2,0,NA,NA,NA,NA,3,0,56.08,5,3,24,NA,25,16,0,1100000,0
8,1,3,1,2,12500,15,15,NA,3,NA,90,8,3,24,NA,25,14,0,780000,0
8,1,3,1,2,12500,15,15,NA,3,NA,90,8,3,48,NA,25,14,0,780000,0
8,1,3,1,2,12500,15,15,NA,3,NA,90,8,3,72,NA,25,14,0,780000,0
8,1,3,1,2,12500,15,15,NA,3,NA,90,8,3,96,NA,25,14,0,780000,0
10,1,0,2,0,85.8,85.8,NA,NA,3,NA,71.1,5,3,6,NA,25,16,0,550000,0
10,1,0,2,0,85.8,85.8,NA,NA,3,NA,71.1,5,3,18,NA,25,16,0,550000,0
10,1,0,2,0,85.8,85.8,NA,NA,3,NA,71.1,5,3,24,NA,25,16,0,550000,0
13,1,3,1,2,NA,NA,NA,NA,9,0,NA,8,3,96,4000,20,12,0,1.00E+05,0
16,1,3,1,2,1250,11.5,11.5,NA,9,0,95,8,3,24,NA,20,12,0,1600000,0
16,1,3,1,2,1250,11.5,11.5,NA,9,0,95,8,3,48,NA,20,12,0,1600000,0
16,1,3,1,2,1250,11.5,11.5,NA,9,0,95,8,3,72,NA,20,12,0,1600000,0
16,1,3,1,2,1250,11.5,11.5,NA,9,0,95,8,3,96,NA,20,12,0,1600000,0
7,0,2,0,1,10,10,10,-7.08,1,0,NA,8,3,48,4003.2,20,NA,0,10156.25,0
7,0,2,0,1,10,10,10,-7.08,1,0,NA,8,3,72,4003.2,20,NA,0,10156.25,0
7,0,2,0,1,10,10,10,-7.08,1,0,NA,8,3,96,4003.2,20,NA,0,10156.25,0
7,0,2,0,1,10,10,10,-7.08,1,0,NA,8,3,24,4003.2,20,NA,0,10156.25,0
9,0,3,1,2,20000,25,25,NA,1,NA,95,8,3,24,4000,20,12,0,NA,0
9,0,3,1,2,20000,25,25,NA,1,NA,95,8,3,48,4000,20,12,0,NA,0
9,0,3,1,2,20000,25,25,NA,1,NA,95,8,3,72,4000,20,12,0,NA,0
9,0,3,1,2,20000,25,25,NA,1,NA,95,8,3,96,4000,20,12,0,NA,0
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,24,6000,23,14,0,898466257.7,0
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,48,6000,23,14,0,898466257.7,0
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,72,6000,23,14,0,898466257.7,0
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,96,6000,23,14,0,898466257.7,0
1,0,0,2,0,1500,1500,NA,-8.35,1,NA,NA,3,3,120,5560,18,12,0,837000,0
1,0,0,2,0,1500,1500,NA,-8.35,1,NA,NA,3,3,288,5560,18,12,0,837000,0
1,0,0,2,0,1500,1500,NA,-8.35,1,NA,NA,3,3,456,5560,18,12,0,837000,0
1,0,0,2,0,1500,1500,NA,-8.35,1,NA,NA,3,3,624,5560,18,12,0,837000,0
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,24,10000,25,12,0,2000,0
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,36,10000,25,12,0,2000,0
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,48,10000,25,12,0,2000,0
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,60,10000,25,12,0,2000,0
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,72,10000,25,12,0,2000,0
11,1,0,2,0,2600,2600,0.55,NA,6,0,NA,9,3,72,1668,25,16,0,6.00E+05,0
12,1,3,1,2,3200,70,70,NA,7,110,97.1,8,1,96,5560,25,14,0,150000,0
12,1,3,1,2,3200,70,70,NA,7,110,97.1,8,6,96,5560,25,14,0,150000,0
12,1,3,1,2,3200,70,70,NA,7,110,97.1,8,7,96,5560,25,14,0,150000,0
12,1,3,1,2,3200,70,70,NA,7,110,97.1,8,3,96,5560,25,14,0,150000,0
4,0,4,1,3,27500,NA,NA,NA,7,0,NA,8,3,72,3892,20,12,0,10000,0
4,0,4,1,3,27500,NA,NA,NA,7,0,NA,8,3,168,3892,20,12,0,10000,0
4,0,3,1,2,NA,19,19,NA,7,0,NA,8,3,72,3892,20,12,0,10000,0
4,0,3,1,2,NA,19,19,NA,7,0,NA,8,3,168,3892,20,12,0,10000,0
12,1,3,1,2,800,9,9,NA,7,0,89,8,3,96,5560,25,14,0,1.00E+05,0
12,1,3,1,2,800,9,9,NA,7,0,89,8,3,96,5560,25,14,5,1.00E+05,0
12,1,3,1,2,1700,28,28,NA,7,0,98,8,3,96,5560,25,14,0,1.00E+05,0
12,1,3,1,2,3200,70,70,NA,7,0,97.1,8,3,96,5560,25,14,0,1.00E+05,0
10,1,3,1,2,20000,1.1,1.1,NA,7,100,99.63,8,5,24,5450,24,NA,0,1000,0
10,1,3,1,2,20000,1.1,1.1,NA,7,100,99.63,8,5,48,5450,24,NA,0,1000,0
10,1,3,1,2,20000,1.1,1.1,NA,7,100,99.63,8,5,72,5450,24,NA,0,1000,0
14,1,3,1,2,20000,1.1,1.1,NA,7,100,99.63,8,5,24,5450,24,NA,0,1000,0
14,1,3,1,2,20000,1.1,1.1,NA,7,100,99.63,8,5,48,5450,24,NA,0,1000,0
14,1,3,1,2,20000,1.1,1.1,NA,7,100,99.63,8,5,72,5450,24,NA,0,1000,0
11,1,2,0,1,10,10,10,-5.21,7,NA,NA,8,3,24,4000,25,12,0,20000,0
11,1,2,0,1,10,10,10,-5.21,7,NA,NA,8,3,48,4000,25,12,0,20000,0
11,1,2,0,1,10,10,10,-5.21,7,NA,NA,8,3,72,4000,25,12,0,20000,0
11,1,2,0,1,10,10,10,-5.21,7,NA,NA,8,3,96,4000,25,12,0,20000,0
11,1,0,2,0,2000,2000,2.5,-18.25,7,0,91,8,3,96,NA,NA,NA,0,3.00E+05,0
10,1,3,1,2,3500,10,10,NA,7,100,95,8,3,96,4448,24,16,0,50000,0
10,1,3,1,2,3500,10,10,NA,7,100,95,8,3,96,4448,24,16,1,50000,0
5,1,3,1,2,3500,10,10,NA,7,100,95,8,2,96,4448,24,16,1.3,25000,0
14,1,0,2,0,160,160,3.5,-24.3,8,NA,NA,3,3,96,6672,19,12,0,1.00E+05,0
0,1,1,0,1,NA,NA,NA,NA,0,125,99.5,0,3,72,4448,NA,NA,0,NA,0
0,1,1,0,1,NA,NA,NA,NA,0,125,99.5,0,3,144,4448,NA,NA,0,NA,0
0,1,1,0,1,NA,NA,NA,NA,0,125,99.5,0,3,216,4448,NA,NA,0,NA,0
12,1,0,2,0,NA,NA,NA,-13.89496718,4,150,96.3,8,3,96,4000,24,14,0,1.00E+06,0
0,1,0,2,0,250,250,0.5,-23,4,0,88.73,3,3,12,NA,22,12,0,1.00E+06,0
0,1,0,2,0,250,250,0.5,-23,4,0,88.73,3,3,24,NA,22,12,0,1.00E+06,0
0,1,0,2,0,250,250,0.5,-23,4,0,88.73,3,3,48,NA,22,12,0,1.00E+06,0
0,1,0,2,0,250,250,0.5,-23,4,0,88.73,3,3,72,NA,22,12,0,1.00E+06,0
0,1,0,2,0,250,250,0.5,-23,4,0,88.73,3,3,96,NA,22,12,0,1.00E+06,0
12,1,0,2,0,2000,2000,NA,-28.14905815,4,NA,45.3,3,3,72,12009.6,24,14,0,5.00E+05,0
12,1,0,2,0,6500,6500,NA,-46.67359667,4,NA,76.9,3,3,48,12009.6,24,14,0,1.00E+06,0
14,1,0,2,0,160,160,3.5,-24.3,8,NA,NA,3,3,96,6672,19,12,0.5,1.00E+05,0.12
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,72,10000,25,12,0.045,2000,0.18
6,1,0,2,0,NA,NA,NA,-15.8,3,NA,NA,3,3,96,NA,25,12,1,NA,0.26
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,60,10000,25,12,0.045,2000,0.28
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,48,6000,23,14,2,898466257.7,0.296014379
3,0,3,1,2,20000,25,25,NA,2,0,95,8,4,72,6672,22,24,10,NA,0.467292489
3,0,3,1,2,20000,25,25,NA,2,0,95,8,4,168,6672,22,24,5,NA,0.513697312
11,1,0,2,0,1250,1250,1,-33.6,3,0,NA,6,3,72,5000,25,12,5,NA,0.54
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,48,10000,25,12,0.045,2000,0.64
6,1,0,2,0,NA,NA,NA,-27.8,3,0,NA,3,3,96,2000,25,12,10,2270000,0.862366325
5,1,3,1,2,3500,10,10,NA,7,100,95,8,2,96,4448,24,16,0.042,25000,1
5,1,3,1,2,3500,10,10,NA,7,100,95,8,3,96,4448,24,16,1,25000,1
10,1,0,2,0,NA,NA,NA,NA,3,0,56.08,5,3,24,NA,25,16,1,1100000,1.049617994
