Species,Water,CNMs,Dimension,Shape,Length,Diameter,Thickness,Medium,RPM,Modification,Dispersant,Duration,LightI,Temperature,LightD,Conc.,N,Chlorophyll
8,0,2,2,2,NA,NA,2.09,3,130,4,0,360,2224,25,24,0,NA,100
8,0,2,2,2,NA,NA,2.09,3,130,4,0,432,2224,25,24,0,NA,100
8,0,2,2,2,NA,NA,2.09,3,130,4,0,504,2224,25,24,0,NA,100
8,0,2,2,2,NA,NA,2.09,3,130,4,0,576,2224,25,24,0,NA,100
8,0,2,2,2,NA,NA,2.09,3,130,4,0,648,2224,25,24,0,NA,100
8,0,2,2,2,NA,NA,2.09,3,130,4,0,720,2224,25,24,0,NA,100
4,0,2,2,2,NA,NA,NA,3,NA,6,0,96,NA,25,12,0,NA,100
4,0,0,0,1,30,30,2.75,3,NA,6,0,96,3300,25,14,0,5.00E+05,100
4,0,2,2,2,700,700,1.75,3,NA,6,0,96,3300,25,14,0,5.00E+05,100
5,0,3,1,3,1750,1.5,1.5,3,NA,5,0,96,NA,24,24,0,64800,100
5,0,2,2,2,2750,2750,1,3,NA,6,0,96,NA,24,24,0,64800,100
4,0,3,1,3,17500,1.5,1.5,3,0,4,0,96,2250,25,12,0,2.00E+06,100
1,0,2,2,2,1250,1250,1,3,0,5,0,72,5000,25,12,0,NA,100
1,0,2,2,2,1250,1250,1,3,0,7,0,72,5000,25,12,0,NA,100
1,0,2,2,2,1250,1250,1,3,0,4,0,72,5000,25,12,0,NA,100
1,0,2,2,2,2750,2750,1,3,0,6,0,72,5000,25,12,0,NA,100
4,0,2,2,2,NA,NA,NA,3,0,6,0,96,2000,25,12,0,2270000,100
5,0,2,2,2,300,300,0.9,3,0,6,0,144,3000,24,24,0,5.00E+06,100
4,0,3,1,3,50000,30,30,3,0,4,0,72,2000,25,12,0,334095.0099,100
4,0,3,1,3,50000,30,30,3,0,4,0,144,2000,25,12,0,334095.0099,100
4,0,3,1,3,50000,30,30,3,0,4,0,216,2000,25,12,0,334095.0099,100
4,0,3,1,3,50000,30,30,3,0,4,0,288,2000,25,12,0,334095.0099,100
4,0,3,1,3,50000,30,30,3,0,4,0,360,2000,25,12,0,334095.0099,100
5,0,2,2,2,2750,2750,1,3,0,6,1,96,NA,25,16,0,550000,100
5,0,2,2,2,2750,2750,1,3,0,6,2,96,NA,25,16,0,550000,100
5,0,2,2,2,2750,2750,1,3,0,6,0,96,NA,25,16,0,550000,100
2,0,4,0,1,10,10,10,3,400,4,0,24,8340,25,12,0,3.00E+06,100
2,0,4,0,1,10,10,10,3,400,4,0,24,8340,25,12,5,3.00E+06,100
2,0,4,0,1,10,10,10,3,400,4,0,48,8340,25,12,0,3.00E+06,100
5,0,0,2,2,25,25,4,3,0,4,0,96,NA,26,14,0,3.00E+05,100
3,0,3,1,3,12500,15,15,3,NA,4,0,24,NA,25,14,0,780000,100
3,0,3,1,3,12500,15,15,3,NA,4,0,48,NA,25,14,0,780000,100
3,0,3,1,3,12500,15,15,3,NA,4,0,72,NA,25,14,0,780000,100
3,0,3,1,3,12500,15,15,3,NA,4,0,96,NA,25,14,0,780000,100
0,0,3,1,3,NA,NA,NA,4,0,4,0,96,4000,20,12,0,1.00E+05,100
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,24,NA,20,12,0,1600000,100
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,48,NA,20,12,0,1600000,100
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,72,NA,20,12,0,1600000,100
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,96,NA,20,12,0,1600000,100
5,0,0,0,1,4,4,4,5,0,4,0,96,5000,25,12,0,NA,100
6,1,2,2,2,3000,3000,1,5,0,6,0,24,6000,23,14,0,898466257.7,100
6,1,2,2,2,3000,3000,1,5,0,6,0,48,6000,23,14,0,898466257.7,100
6,1,2,2,2,3000,3000,1,5,0,6,0,72,6000,23,14,0,898466257.7,100
6,1,2,2,2,3000,3000,1,5,0,6,0,96,6000,23,14,0,898466257.7,100
9,1,2,2,2,1500,1500,NA,5,NA,6,0,120,5560,18,12,0,837000,100
9,1,2,2,2,1500,1500,NA,5,NA,6,0,288,5560,18,12,0,837000,100
9,1,2,2,2,1500,1500,NA,5,NA,6,0,456,5560,18,12,0,837000,100
9,1,2,2,2,1500,1500,NA,5,NA,6,0,624,5560,18,12,0,837000,100
1,0,2,2,2,2600,2600,0.55,0,0,0,0,72,1668,25,16,0,6.00E+05,100
1,0,0,0,1,10,10,10,2,NA,4,0,24,4000,25,12,0,20000,100
1,0,0,0,1,10,10,10,2,NA,4,0,24,4000,25,12,5,20000,100
1,0,0,0,1,10,10,10,2,NA,4,0,24,4000,25,12,10,20000,100
1,0,0,0,1,10,10,10,2,NA,4,0,24,4000,25,12,50,20000,100
1,0,0,0,1,10,10,10,2,NA,4,0,24,4000,25,12,100,20000,100
1,0,0,0,1,10,10,10,2,NA,4,0,24,4000,25,12,200,20000,100
1,0,0,0,1,10,10,10,2,NA,4,0,24,4000,25,12,500,20000,100
1,0,0,0,1,10,10,10,2,NA,4,0,48,4000,25,12,0,20000,100
1,0,0,0,1,10,10,10,2,NA,4,0,72,4000,25,12,0,20000,100
1,0,0,0,1,10,10,10,2,NA,4,0,96,4000,25,12,0,20000,100
11,0,5,0,1,NA,NA,NA,7,125,8,0,216,4448,NA,NA,0,NA,100
8,0,3,1,3,1250,15,15,3,130,4,0,504,2224,25,24,15,NA,100.2638522
4,0,3,1,3,224,16.8,16.8,1,60,4,0,24,1212.5,28,24,1,2.00E+06,100.2830189
3,0,3,1,3,12500,15,15,3,NA,4,0,72,NA,25,14,0.01,780000,100.3205128
8,0,3,1,3,1250,15,15,3,130,4,0,432,2224,25,24,15,NA,100.5586592
4,0,2,2,2,1140,1140,NA,1,60,6,0,24,1212.5,28,24,1,2.00E+06,100.9285051
8,0,2,2,2,NA,NA,2.09,3,130,4,0,144,2224,25,24,15,NA,101.1428571
6,1,2,2,2,3000,3000,1,5,0,6,0,24,6000,23,14,5,898466257.7,101.1594203
5,0,2,2,2,2750,2750,1,3,0,6,1,96,NA,25,16,0.001,550000,101.6
8,0,3,1,3,50000,11.5,11.5,3,130,7,0,144,2224,25,24,15,NA,101.7142857
1,0,0,0,1,10,10,10,2,NA,4,0,72,4000,25,12,5,20000,102.0364416
2,0,4,0,1,10,10,10,3,400,4,0,48,8340,25,12,5,3.00E+06,102.0703934
4,0,3,1,3,50000,30,30,3,0,4,0,288,2000,25,12,5,334095.0099,102.3486902
6,1,2,2,2,3000,3000,1,5,0,6,0,24,6000,23,14,0.2,898466257.7,102.8458498
5,0,2,2,2,2750,2750,1,3,0,6,1,96,NA,25,16,1,550000,102.9
5,0,2,2,2,2750,2750,1,3,0,6,1,96,NA,25,16,0.1,550000,103.2
9,1,2,2,2,1500,1500,NA,5,NA,6,0,288,5560,18,12,0.5,837000,103.7252619
2,0,4,0,1,10,10,10,3,400,4,0,24,8340,25,12,20,3.00E+06,103.8610039
3,0,3,1,3,12500,15,15,3,NA,4,0,48,NA,25,14,0.1,780000,104.0431267
1,0,0,0,1,10,10,10,2,NA,4,0,48,4000,25,12,5,20000,104.1666667
4,0,3,1,3,50000,30,30,3,0,4,0,360,2000,25,12,5,334095.0099,105.2413793
8,0,2,2,2,NA,NA,2.09,3,130,4,0,648,2224,25,24,15,NA,105.6089744
4,0,3,1,3,50000,30,30,3,0,4,0,216,2000,25,12,5,334095.0099,106.2962963
4,0,2,2,2,1140,1140,NA,1,60,6,0,24,1212.5,28,24,10,2.00E+06,106.5923863
8,0,3,1,3,50000,11.5,11.5,3,130,7,0,360,2224,25,24,15,NA,106.6666667
8,0,3,1,3,50000,11.5,11.5,3,130,7,0,432,2224,25,24,15,NA,106.9832402
8,0,3,1,3,50000,11.5,11.5,3,130,7,0,576,2224,25,24,15,NA,107.8674948
2,0,4,0,1,10,10,10,3,400,4,0,24,8340,25,12,10,3.00E+06,107.9150579
1,0,2,2,2,1250,1250,1,3,0,7,0,72,5000,25,12,5,NA,108.3
4,0,3,1,3,50000,30,30,3,0,4,0,144,2000,25,12,5,334095.0099,108.4714549
8,0,3,1,3,50000,11.5,11.5,3,130,7,0,288,2224,25,24,15,NA,108.9552239
8,0,2,2,2,NA,NA,2.09,3,130,4,0,720,2224,25,24,15,NA,109.4650206
8,0,2,2,2,NA,NA,2.09,3,130,4,0,288,2224,25,24,15,NA,109.7014925
1,0,0,0,1,10,10,10,2,NA,4,0,48,4000,25,12,10,20000,109.7222222
8,0,3,1,3,50000,11.5,11.5,3,130,7,0,504,2224,25,24,15,NA,109.762533
10,1,3,1,3,20000,25,25,6,0,4,3,72,6672,22,24,10,NA,109.9303136
1,0,2,2,2,1250,1250,1,3,0,5,0,72,5000,25,12,5,NA,110.1
1,0,0,0,1,10,10,10,2,NA,4,0,48,4000,25,12,50,20000,111.1111111
4,0,2,2,2,1140,1140,NA,1,60,6,0,24,1212.5,28,24,5,2.00E+06,111.4206128
11,0,5,0,1,NA,NA,NA,7,125,8,0,144,4448,NA,NA,50,NA,111.583
10,1,3,1,3,20000,25,25,6,0,4,3,168,6672,22,24,5,NA,111.8072289
10,1,3,1,3,20000,25,25,6,0,4,3,72,6672,22,24,5,NA,112.0209059
4,0,3,1,3,224,16.8,16.8,1,60,4,0,24,1212.5,28,24,5,2.00E+06,112.0754717
4,0,3,1,3,50000,30,30,3,0,4,0,72,2000,25,12,5,334095.0099,112.2857143
9,1,2,2,2,1500,1500,NA,5,NA,6,0,624,5560,18,12,0.5,837000,113.1474104
1,0,2,2,2,1250,1250,1,3,0,5,0,72,5000,25,12,10,NA,113.4
1,0,2,2,2,1250,1250,1,3,0,7,0,72,5000,25,12,10,NA,114.7
8,0,2,2,2,1750,1750,0.885,3,130,6,0,216,2224,25,24,15,NA,115.1960784
10,1,3,1,3,20000,25,25,6,0,4,3,48,6672,22,24,5,NA,115.6957929
1,0,2,2,2,1250,1250,1,3,0,7,0,72,5000,25,12,20,NA,116.8
10,1,3,1,3,20000,25,25,6,0,4,3,168,6672,22,24,10,NA,117.3493976
2,0,4,0,1,10,10,10,3,400,4,0,24,8340,25,12,50,3.00E+06,117.5675676
1,0,2,2,2,1250,1250,1,3,0,7,1,72,5000,25,12,20,NA,118.1
8,0,2,2,2,NA,NA,2.09,3,130,4,0,432,2224,25,24,15,NA,118.4357542
8,0,2,2,2,1750,1750,0.885,3,130,6,0,720,2224,25,24,15,NA,119.2043896
2,0,4,0,1,10,10,10,3,400,4,0,48,8340,25,12,10,3.00E+06,119.2546584
8,0,2,2,2,NA,NA,2.09,3,130,4,0,360,2224,25,24,15,NA,120.7017544
2,0,4,0,1,10,10,10,3,400,4,0,48,8340,25,12,20,3.00E+06,121.3250518
8,0,2,2,2,1750,1750,0.885,3,130,6,0,288,2224,25,24,15,NA,122.0149254
8,0,2,2,2,NA,NA,2.09,3,130,4,0,576,2224,25,24,15,NA,122.3602484
10,1,3,1,3,20000,25,25,6,0,4,0,24,6672,22,24,5,NA,122.8043143
10,1,3,1,3,20000,25,25,6,0,4,0,72,6672,22,24,5,NA,123.3449477
10,1,3,1,3,20000,25,25,6,0,4,0,168,6672,22,24,5,NA,123.8554217
8,0,2,2,2,1750,1750,0.885,3,130,6,0,648,2224,25,24,15,NA,124.5192308
8,0,2,2,2,NA,NA,2.09,3,130,4,0,504,2224,25,24,15,NA,125.5936675
10,1,3,1,3,20000,25,25,6,0,4,0,48,6672,22,24,5,NA,129.7734628
2,0,4,0,1,10,10,10,3,400,4,0,48,8340,25,12,50,3.00E+06,129.8136646
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,72,NA,20,12,10,1600000,132.2580645
9,1,2,2,2,1500,1500,NA,5,NA,6,0,456,5560,18,12,0.5,837000,132.5141777
8,0,2,2,2,1750,1750,0.885,3,130,6,0,360,2224,25,24,15,NA,132.6315789
10,1,3,1,3,20000,25,25,6,0,4,0,24,6672,22,24,10,NA,136.05547
8,0,2,2,2,1750,1750,0.885,3,130,6,0,432,2224,25,24,15,NA,143.2960894
8,0,2,2,2,1750,1750,0.885,3,130,6,0,576,2224,25,24,15,NA,147.2049689
8,0,2,2,2,1750,1750,0.885,3,130,6,0,504,2224,25,24,15,NA,149.6042216
