Species,Water,CNMs,Dimension,Shape,Length,Diameter,Thickness,Medium,RPM,Modification,Dispersant,Duration,LightI,Temperature,LightD,Conc.,N,Chlorophyll
2,0,0,0,1,NA,NA,NA,3,0,1,0,96,4000,25,12,500,2500000,23.91304348
1,0,0,0,1,10,10,10,2,NA,4,0,72,4000,25,12,200,20000,24.22293676
2,0,0,0,1,NA,NA,NA,3,0,2,0,96,4000,25,12,100,2500000,24.3902439
2,0,0,0,1,NA,NA,NA,3,0,4,0,96,4000,25,12,500,2500000,24.3902439
2,0,0,0,1,NA,NA,NA,3,0,1,0,96,4000,25,12,100,2500000,26.35869565
2,0,0,0,1,NA,NA,NA,3,0,4,0,96,4000,25,12,100,2500000,26.55826558
5,0,2,2,2,300,300,0.9,3,0,6,0,144,3000,28,24,10,5.00E+06,27.0631068
1,0,0,0,1,10,10,10,2,NA,4,0,96,4000,25,12,200,20000,28.26086957
5,0,2,2,2,300,300,0.9,3,0,6,0,144,3000,27,24,1,5.00E+06,30.33980583
5,0,1,3,0,208.295,208.295,208.295,3,150,4,0,72,5560,25,14,300,1.00E+06,32.12851406
4,0,3,1,3,224,16.8,16.8,1,60,4,0,96,1212.5,28,24,25,2.00E+06,35.28678304
1,0,0,0,1,10,10,10,2,NA,4,0,72,4000,25,12,100,20000,37.0846731
1,0,0,0,1,10,10,10,2,NA,4,0,96,4000,25,12,100,20000,37.08827404
4,0,3,1,3,17500,1.5,1.5,3,0,4,0,96,2250,25,12,10,2.00E+06,38.87147335
5,0,2,2,2,300,300,0.9,3,0,6,0,144,3000,26,24,0.1,5.00E+06,45.50970874
5,0,1,3,0,208.295,208.295,208.295,3,150,4,0,72,5560,25,14,300,1.00E+06,46.38554217
0,0,3,1,3,NA,NA,NA,4,0,4,0,96,4000,20,12,100,1.00E+05,46.74099485
2,0,0,0,1,NA,NA,NA,3,0,1,0,48,4000,25,12,500,2500000,47.45762712
0,0,3,1,3,NA,NA,NA,4,0,4,0,96,4000,20,12,50,1.00E+05,48.19897084
0,0,3,1,3,NA,NA,NA,4,0,4,0,96,4000,20,12,70,1.00E+05,48.28473413
2,0,0,0,1,NA,NA,NA,3,0,2,0,48,4000,25,12,100,2500000,48.31460674
2,0,0,0,1,NA,NA,NA,3,0,4,0,48,4000,25,12,500,2500000,48.31460674
4,0,0,0,1,30,30,2.75,3,NA,6,0,96,3300,25,14,10,5.00E+05,48.37606838
0,0,3,1,3,NA,NA,NA,4,0,4,0,96,4000,20,12,30,1.00E+05,48.7135506
2,0,0,0,1,NA,NA,NA,3,0,1,0,48,4000,25,12,100,2500000,49.71751412
2,0,0,0,1,NA,NA,NA,3,0,2,0,48,4000,25,12,50,2500000,50
